# E.W. Lemmon, M.O. McLinden and D.G. Friend, "Thermophysical Properties of Fluid Systems" in NIST Chemistry WebBook, NIST Standard Reference Database Number 69, Eds. P.J. Linstrom and W.G. Mallard, National Institute of Standards and Technology, Gaithersburg MD, 20899, http://webbook.nist.gov, (retrieved May 30, 2016).
#Temperature (K)	Pressure (MPa)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase  Ratio_of_specific_heat
5.340e+01	1.000e-03	2.252e+00	4.440e-01	1.187e+00	1.631e+00	1.040e+02	1.254e+01	2.085e+01	6.052e+02	4.330e+00	2.597e+00	4.017e-02	vapor	1.664e+00
5.504e+01	1.000e-03	2.185e+00	4.576e-01	1.207e+00	1.665e+00	1.047e+02	1.255e+01	2.087e+01	6.143e+02	4.128e+00	2.662e+00	4.120e-02	vapor	1.663e+00
5.669e+01	1.000e-03	2.122e+00	4.713e-01	1.228e+00	1.699e+00	1.053e+02	1.257e+01	2.089e+01	6.232e+02	3.939e+00	2.727e+00	4.223e-02	vapor	1.661e+00
5.833e+01	1.000e-03	2.062e+00	4.849e-01	1.248e+00	1.734e+00	1.059e+02	1.259e+01	2.091e+01	6.320e+02	3.762e+00	2.790e+00	4.325e-02	vapor	1.660e+00
5.997e+01	1.000e-03	2.006e+00	4.986e-01	1.269e+00	1.768e+00	1.065e+02	1.262e+01	2.094e+01	6.405e+02	3.595e+00	2.853e+00	4.427e-02	vapor	1.659e+00
6.162e+01	1.000e-03	1.952e+00	5.123e-01	1.290e+00	1.802e+00	1.070e+02	1.265e+01	2.097e+01	6.490e+02	3.438e+00	2.915e+00	4.529e-02	vapor	1.657e+00
6.326e+01	1.000e-03	1.901e+00	5.260e-01	1.311e+00	1.837e+00	1.076e+02	1.268e+01	2.100e+01	6.572e+02	3.289e+00	2.976e+00	4.631e-02	vapor	1.656e+00
6.490e+01	1.000e-03	1.853e+00	5.396e-01	1.332e+00	1.871e+00	1.081e+02	1.272e+01	2.104e+01	6.653e+02	3.149e+00	3.036e+00	4.733e-02	vapor	1.654e+00
6.655e+01	1.000e-03	1.807e+00	5.533e-01	1.353e+00	1.906e+00	1.086e+02	1.276e+01	2.107e+01	6.733e+02	3.016e+00	3.095e+00	4.836e-02	vapor	1.652e+00
6.819e+01	1.000e-03	1.764e+00	5.669e-01	1.374e+00	1.941e+00	1.092e+02	1.280e+01	2.112e+01	6.811e+02	2.890e+00	3.154e+00	4.938e-02	vapor	1.650e+00
