####################################################################################
#SPECIES_SHORT  SPEC_DENS   MOLAR_WEIGHT     T_DES   T_DESA    T_DESB     PART_FILE  
AH2O            1.00        18               150.     2827.7    7.7205     H2O/a_ice_10_0.01_0.01_-3.5_DHS_0.8.opac
CH2O            1.00        18               150.     2827.7    7.7205     H2O/c_ice_100_0.01_0.01_-3.5_DHS_0.8.opac
AH2OHT          1.00        18               160.     0         0          H2O/a_ice_10_0.01_0.01_-3.5_DHS_0.8.opac
CH2OHT          1.00        18               160.     0         0          H2O/c_ice_100_0.01_0.01_-3.5_DHS_0.8.opac
MAGNDHS         5.1         231.53           1000.    0         0          Magnetite/Fe3O4_0.01_0.01_-3.5_DHS_0.8.opac
OLIVMGA001CDE   3.3         140.69           1150.    26091.    13.418     Olivines/a_ol_Jager03_mg1.0_fe0.0_0.01_0.01_-3.5_CDE.opac
OLIVA001CDE     3.6         172.23           1300.    28030.    12.471     Olivines/a_ol_Jager94_mg0.5_fe0.5_0.01_0.01_-3.5_CDE.opac
OLIVMGA002      3.3         140.69           1150.    26091.    13.418     Olivines/a_ol_Jager03_mg1.0_fe0.0_0.02_0.02_-3.5_DHS_0.8.opac
OLIVMGA006      3.3         140.69           1150.    26091.    13.418     Olivines/a_ol_Jager03_mg1.0_fe0.0_0.06_0.06_-3.5_DHS_0.8.opac
OLIVMGA006      3.3         140.69           1150.    26091.    13.418     Olivines/a_ol_Jager03_mg1.0_fe0.0_0.06_0.06_-3.5_DHS_0.8.opac
OLIVMGA2        3.3         140.69           1150.    26091.    13.418     Olivines/a_ol_Jager03_mg1.0_fe0.0_1.8_1.8_-3.5_DHS_0.8.opac
OLIVA002        3.6         172.23           1300.    28030.    12.471     Olivines/a_ol_Jager94_mg0.5_fe0.5_0.02_0.02_-3.5_DHS_0.8.opac
OLIVA006        3.6         172.23           1300.    28030.    12.471     Olivines/a_ol_Jager94_mg0.5_fe0.5_0.06_0.06_-3.5_DHS_0.8.opac
OLIVA018        3.6         172.23           1300.    28030.    12.471     Olivines/a_ol_Jager94_mg0.5_fe0.5_0.18_0.18_-3.5_DHS_0.8.opac
OLIVA018DHS05   3.6         172.23           1300.    28030.    12.471     Olivines/a_ol_Jager94_mg0.5_fe0.5_0.18_0.18_-3.5_DHS_0.5.opac
OLIVA018DHS00   3.6         172.23           1300.    28030.    12.471     Olivines/a_ol_Jager94_mg0.5_fe0.5_0.18_0.18_-3.5_DHS_0.0.opac
OLIVA056        3.6         172.23           1300.    28030.    12.471     Olivines/a_ol_Jager94_mg0.5_fe0.5_0.56_0.56_-3.5_DHS_0.8.opac
OLIVA1          3.6         172.23           1300.    28030.    12.471     Olivines/a_ol_Jager94_mg0.5_fe0.5_1.0_1.0_-3.5_DHS_0.8.opacity
OLIVA2          3.6         172.23           1300.    28030.    12.471     Olivines/a_ol_Jager94_mg0.5_fe0.5_2.0_2.0_-3.5_DHS_0.8.opacity
OLIVA10         3.6         172.23           1300.    28030.    12.471     Olivines/a_ol_Jager94_mg0.5_fe0.5_10.0_10.0_-3.5_DHS_0.8.opacity
OLIVA100        3.6         172.23           1300.    28030.    12.471     Olivines/a_ol_Jager94_mg0.5_fe0.5_100.0_100.0_-3.5_DHS_0.8.opacity
OLIVA250        3.6         172.23           1300.    28030.    12.471     Olivines/a_ol_Jager94_mg0.5_fe0.5_250.0_250.0_-3.5_DHS_0.8.opacity
OLIVA500        3.6         172.23           1300.    28030.    12.471     Olivines/a_ol_Jager94_mg0.5_fe0.5_500.0_500.0_-3.5_DHS_0.8.opacity
